hexID,LAT,LON,N,K,R
98163,75.7327366223964,-28.9999885408443,1,1,1
98170,81.7941628154701,-28.9999885408441,1,1,1
98317,69.2378824525933,-28.7499885408437,1,1,1
98318,70.1038747048782,-28.7499885408436,1,1,1
98444,38.4944650117123,-28.4999885408447,501860,7,4052
98479,68.804885407732,-28.4999885408444,1,1,1
98493,80.9283037754135,-28.4999885408443,3,1,2
98494,81.7941628154701,-28.4999885408449,1,1,1
98606,38.9274751037295,-28.2499885408439,18174,5,811
98640,68.3718877976443,-28.2499885408441,3,2,3
98643,70.9698642385259,-28.2499885408441,7,2,7
98644,71.8358506769037,-28.2499885408437,4,2,4
98646,73.5678123620103,-28.2499885408442,1,1,1
98655,81.3612373511544,-28.2499885408441,1,1,1
98768,38.4944650117126,-27.9999885408433,172723,8,2608
98805,70.5368698334903,-27.9999885408437,78,2,43
98806,71.4028578709178,-27.9999885408435,2,1,2
98808,73.1348235154719,-27.9999885408434,2,1,1
98966,70.1038747048781,-27.7499885408441,1,1,1
98967,70.9698642385259,-27.7499885408442,56,2,30
98968,71.8358506769036,-27.7499885408447,4,2,4
99092,38.4944650117124,-27.4999885408447,12470,5,500
99127,68.804885407732,-27.4999885408445,2,1,1
99129,70.5368698334902,-27.4999885408439,5,2,5
99130,71.4028578709178,-27.4999885408445,2,1,2
99131,72.2688425974321,-27.4999885408443,12,1,10
99132,73.1348235154719,-27.4999885408442,18,2,16
99133,74.0008000192416,-27.4999885408443,22,1,17
99136,76.5986946285704,-27.4999885408441,2,1,2
99140,80.0624165258265,-27.4999885408438,1,1,1
99143,82.6599836732844,-27.4999885408442,1,1,1
99254,38.9274751037292,-27.2499885408439,327696,7,3290
99290,70.1038747048782,-27.2499885408443,11,3,10
99291,70.969864238526,-27.249988540844,6,1,6
99292,71.8358506769037,-27.2499885408436,3,1,3
99293,72.7018335675199,-27.2499885408437,8,1,4
99294,73.5678123620103,-27.2499885408439,2,1,2
99416,38.4944650117123,-26.9999885408436,229341,5,2263
99451,68.8048854077321,-26.9999885408435,5,1,2
99453,70.5368698334902,-26.9999885408444,1,1,1
99454,71.4028578709177,-26.9999885408435,1,1,1
99455,72.268842597432,-26.999988540844,1,1,1
99463,79.196507840379,-26.999988540844,1,1,1
99615,70.969864238526,-26.7499885408445,4,1,1
99616,71.8358506769037,-26.7499885408442,1,1,1
99617,72.7018335675199,-26.7499885408442,4,1,3
99618,73.5678123620103,-26.7499885408444,42,1,17
99624,78.7635470046658,-26.7499885408438,1,1,1
99775,68.804885407732,-26.4999885408445,65,2,2
99777,70.5368698334902,-26.4999885408442,33,3,24
99778,71.4028578709178,-26.4999885408445,45,2,13
99780,73.1348235154719,-26.4999885408451,7,2,7
99783,75.7327366223964,-26.4999885408444,2,2,2
99790,81.7941628154701,-26.4999885408446,2,2,2
99938,70.1038747048782,-26.2499885408444,7,2,6
99939,70.969864238526,-26.2499885408441,15,1,3
99941,72.7018335675199,-26.2499885408444,5,1,4
99942,73.5678123620103,-26.2499885408447,2,2,2
99943,74.4337863894545,-26.2499885408442,1,1,1
99950,80.4953631955597,-26.2499885408438,1,1,1
100063,37.6284446399579,-25.9999885408436,1291,3,233
100101,70.5368698334902,-25.999988540844,89,5,55
100102,71.4028578709177,-25.9999885408442,12,2,11
100103,72.268842597432,-25.9999885408439,1,1,1
100104,73.1348235154719,-25.9999885408437,33,3,26
100111,79.196507840379,-25.9999885408439,1,1,1
100112,80.0624165258265,-25.9999885408437,2,2,2
100114,81.7941628154701,-25.999988540843,12,3,6
100225,38.0614548567657,-25.7499885408437,106537,7,2723
100263,70.969864238526,-25.7499885408436,80,2,24
100266,73.5678123620103,-25.7499885408437,1,1,1
100274,80.4953631955597,-25.7499885408442,1,1,1
100363,16.8438984455833,-25.4999885408446,355,3,175
100387,37.6284446399579,-25.4999885408441,285836,7,4418
100425,70.5368698334902,-25.4999885408443,17,4,15
100427,72.268842597432,-25.4999885408447,11,3,7
100428,73.134823515472,-25.4999885408441,3,2,3
100433,77.4646438923926,-25.4999885408439,1,1,1
100525,17.2769106595251,-25.2499885408441,3082,4,713
100548,37.1954343623377,-25.2499885408441,50760,5,1611
100549,38.0614548567654,-25.2499885408441,48144,5,1288
100586,70.1038747048782,-25.2499885408443,2,1,1
100587,70.9698642385259,-25.2499885408439,23,3,19
100588,71.8358506769037,-25.2499885408436,3,2,3
100589,72.7018335675199,-25.249988540844,221,4,89
100590,73.5678123620103,-25.2499885408437,110,3,43
100598,80.4953631955597,-25.2499885408442,1,1,1
100600,82.2270788141537,-25.2499885408443,1,1,1
100687,16.8438984455828,-24.9999885408438,6278,6,1193
100710,36.7624240249292,-24.9999885408441,104868,6,2244
100711,37.628444639958,-24.999988540844,42135,7,1209
100748,69.6708788975454,-24.9999885408438,2,1,2
100749,70.5368698334903,-24.9999885408438,6,1,6
100750,71.4028578709177,-24.9999885408443,87,2,64
100751,72.268842597432,-24.9999885408437,15,1,5
100752,73.1348235154719,-24.9999885408441,79,3,44
100760,80.0624165258265,-24.9999885408436,3,2,3
100763,82.6599836732844,-24.9999885408442,1,1,1
100909,69.2378824525933,-24.7499885408445,5,1,5
100910,70.1038747048781,-24.749988540844,1,1,1
100912,71.8358506769037,-24.7499885408444,2,2,2
100913,72.7018335675199,-24.7499885408443,12,4,11
100914,73.5678123620103,-24.749988540844,92,2,53
100922,80.4953631955597,-24.7499885408436,9,2,9
100923,81.3612373511544,-24.7499885408445,3,1,3
100925,83.0928752989587,-24.7499885408444,2,1,1
101009,15.1118493510949,-24.4999885408443,1388,5,443
101011,16.8438984455833,-24.4999885408442,192,3,77
101067,65.3408910985324,-24.4999885408439,8872,6,379
101074,71.4028578709177,-24.4999885408438,258,2,98
